name,type,city,district,description,tags0,tags1,tags2,tags3,hours,cost,lat,lng,gmaps,image_url
台北101觀景台,spot,台北,信義區,台北地標與高空景觀平台,地標,觀景,購物,拍照,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97101%E8%A7%80%E6%99%AF%E5%8F%B0,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_7927_32.jpg
國父紀念館,spot,台北,信義區,大型展演與展覽場館，周邊綠地適合散步,文化,展覽,散步,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8,https://senior.104.com.tw/img/zip/3ba4d0c15ca444d0bdf122c7396a86ae11.jpeg
象山步道,walk,台北,信義區,熱門親山步道，夜景觀賞點,登山,夜景,戶外,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%B1%A1%E5%B1%B1%E6%AD%A5%E9%81%93,https://www.travel.taipei/image/222132/?r=1637654386987
四四南村,cafe,台北,信義區,眷村改建文創聚落，好丘與市集,文創,咖啡,拍照,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9B%9B%E5%9B%9B%E5%8D%97%E6%9D%91,https://www.fun-taiwan.com/Images/PlayNotes/121153-S20120829032355.jpg
松山文創園區,spot,台北,信義區,老菸廠轉型文創基地，展覽與市集,文創,展覽,市集,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%9D%BE%E5%B1%B1%E6%96%87%E5%89%B5%E5%9C%92%E5%8D%80,https://www.taiwanviptravel.com/articles/images/songshan-cultural-park-img3.jpg
台北世貿中心,spot,台北,信義區,國際展覽與會展場域,展覽,商務,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97%E4%B8%96%E8%B2%BF%E4%B8%AD%E5%BF%83,https://s3cdn.yourator.co/banners/banners/000/002/105/home/a46a299319b407569091a23b72ab0e2c6ab38824.png
台北市政府,spot,台北,信義區,城市地標與周邊市民廣場,地標,公共空間,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C,https://www.travel.taipei/content/images/attractions/191906/480x360_attractions-image-y-1yhe8xz0e52lrkjvjqkw.jpg
信義香堤大道廣場,walk,台北,信義區,百貨間中庭步道裝置藝術,散步,拍照,購物,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E4%BF%A1%E7%BE%A9%E9%A6%99%E5%A0%A4%E5%A4%A7%E9%81%93%E5%BB%A3%E5%A0%B4,https://cdn.walkerland.com.tw/images/upload/poi/p95582/m70171/0585517dd7ffc576a9bb869333fb822752424241.jpg
ATT 4 FUN,spot,台北,信義區,複合娛樂與餐飲購物商場,購物,美食,娛樂,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=ATT%204%20FUN,https://ciaotw-com.sfo3.digitaloceanspaces.com/wp-content/uploads/2023/08/cover-att4fun.jpg
台北國際會議中心,spot,台北,信義區,大型會議與活動場地,會展,商務,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8F%B0%E5%8C%97%E5%9C%8B%E9%9A%9B%E6%9C%83%E8%AD%B0%E4%B8%AD%E5%BF%83,https://i.epochtimes.com/assets/uploads/2009/07/907050303021758-600x400.jpg
大安森林公園,walk,台北,大安區,市區最大公園，生態池與環狀步道,公園,運動,野餐,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%A4%A7%E5%AE%89%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9C%92,https://nienie.tw/wp-content/uploads/2023/05/%E5%8F%B0%E5%8C%97%E5%B8%82%E7%89%B9%E8%89%B2%E5%85%AC%E5%9C%92%EF%BD%9C%E5%A4%A7%E5%AE%89%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9C%92%E8%A6%AA%E5%AD%90%E6%99%AF%E9%BB%9E%E9%A6%96%E9%81%B8%E8%B6%85%E5%A5%BD%E7%8E%A9%E6%94%80%E7%88%AC%E9%81%8A%E6%A8%82%E8%A8%AD%E6%96%BD-5416.jpg
師大夜市,cafe,台北,大安區,學生族最愛平價美食商圈,夜市,小吃,美食,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%B8%AB%E5%A4%A7%E5%A4%9C%E5%B8%82,https://www.welcometw.com/wp-content/uploads/2022/03/%E5%B8%AB%E5%A4%A7%E5%A4%9C%E5%B8%82-850x611.jpg
臨江街夜市（通化夜市）,cafe,台北,大安區,在地人氣夜市，宵夜好去處,夜市,小吃,在地,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%87%A8%E6%B1%9F%E8%A1%97%E5%A4%9C%E5%B8%82%EF%BC%88%E9%80%9A%E5%8C%96%E5%A4%9C%E5%B8%82%EF%BC%89,https://woment.com.tw/wp-content/uploads/2024/02/linjiang-street-night-market-in-taipei-1.jpg
國立臺灣大學校園,walk,台北,大安區,老榕大道與校園人文風景,校園,散步,拍照,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%A0%A1%E5%9C%92,https://storage.googleapis.com/opinion-cms-cwg-tw/article/201804/article-5ae6c4e816920.jpg
公館商圈,cafe,台北,大安區,學生美食、服飾與小店聚集,美食,逛街,平價,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%85%AC%E9%A4%A8%E5%95%86%E5%9C%88,https://s.yimg.com/ny/api/res/1.2/Sr.gg0dYHaXWvkQ9QsNb1w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTQyNw--/https://media.zenfs.com/zh-tw/chinatimes.com.tw/81461922cbd8dd945661d943a69a0087
建國假日花市,spot,台北,大安區,週末限定大型花市與玉市,市集,花卉,逛街,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%BB%BA%E5%9C%8B%E5%81%87%E6%97%A5%E8%8A%B1%E5%B8%82,https://attach.setn.com/newsimages/2018/11/07/1629024-XXL.jpg
青田街老屋聚落,walk,台北,大安區,日式老屋咖啡與人文巷弄,文青,咖啡,老屋,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E9%9D%92%E7%94%B0%E8%A1%97%E8%80%81%E5%B1%8B%E8%81%9A%E8%90%BD,https://decolifetw.com/wp-content/uploads/2023/04/%E9%9D%92%E7%94%B0%E8%A1%97-v2-6806.jpg
忠孝東路東區商圈,spot,台北,大安區,東區延伸商圈，餐飲林立,美食,購物,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%92%8C%E5%B9%B3%E6%9D%B1%E8%B7%AF%E6%9D%B1%E5%8D%80%E5%95%86%E5%9C%88,"https://p1-news.hfcdn.com/p1-news/MzQxMTA3Nm5ld3M,/d2a6540aa1e67a3a_800x364.jpg/qs/w=600&h=600&r=16888"
福州山親山步道,walk,台北,大安區,市區近郊步道，展望大安天際線,登山,景觀,戶外,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E7%A6%8F%E5%B7%9E%E5%B1%B1%E8%A6%AA%E5%B1%B1%E6%AD%A5%E9%81%93,https://obs.line-scdn.net/0h6x5PzDUCaVcIKUHQZcYWADF_ZSY7TXxRZlEmMXl8MWQjHzIGYEx2LSguNWY5SSZSMVNyYyt6Y24iHi5WMhg
中正紀念堂,spot,台北,中正區,經典地標與廣場，儀隊交接,地標,歷史,展演,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E4%B8%AD%E6%AD%A3%E7%B4%80%E5%BF%B5%E5%A0%82,https://image.cdn-eztravel.com.tw/NujfM1eJ7rMz-dPFzw1Y4WDsyZdOSjiSF7SzDML09uk/rs:fill:600:315:1/g:ce/aHR0cHM6Ly92YWNhdGlvbi5jZG4tZXp0cmF2ZWwuY29tLnR3L3BvaS90dy9UUEUvQ2hpYW5nIEthaS1zaGVrIE1lbW9yaWFsIEhhbGwvc2h1dHRlcnN0b2NrXzc1NDI2NzgxLmpwZw.jpg
華山1914文化創意產業園區,spot,台北,中正區,酒廠改建展演場域，市集與展覽,文創,展覽,市集,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%8F%AF%E5%B1%B11914%E6%96%87%E5%8C%96%E5%89%B5%E6%84%8F%E7%94%A2%E6%A5%AD%E5%9C%92%E5%8D%80,https://media.huashan1914.com/WebUPD/huashan1914/creative/13_18060412160413437.jpg
國立臺灣博物館,spot,台北,中正區,臺灣最早的博物館之一,博物館,歷史,自然,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%8D%9A%E7%89%A9%E9%A4%A8,https://www.dribs-drabs.com/wp-content/uploads/2024/06/01-1.jpg
二二八和平紀念公園,walk,台北,中正區,市中心綠地與紀念空間,公園,歷史,散步,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E4%BA%8C%E4%BA%8C%E5%85%AB%E5%92%8C%E5%B9%B3%E7%B4%80%E5%BF%B5%E5%85%AC%E5%9C%92,https://senior.104.com.tw/img/zip/09a73f13ec7744909b8f6e93b5215b9611.jpg
國家兩廳院,spot,台北,中正區,指標性表演藝術場館及古典音樂與演出核心場域,表演,藝術,建築,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9C%8B%E5%AE%B6%E6%88%B2%E5%8A%87%E9%99%A2,https://www.travel.taipei/content/images/attractions/180680/1024x768_attractions-image-g0ujveena0qej645jqisxa.jpg
總統府,spot,台北,中正區,歷史建築外觀與特定日開放參觀,歷史,建築,地標,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E7%B8%BD%E7%B5%B1%E5%BA%9C,https://photo.travelking.com.tw/scenery/673EAAFB-2D97-4615-B293-F4B5BDB54B54_e.jpg
南門市場,cafe,台北,中正區,傳統市場與老字號南北貨,市場,美食,在地,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%8D%97%E9%96%80%E5%B8%82%E5%A0%B4,https://lordcat.net/wp-content/uploads/2023/10/1737038718-161b0aebd8d354104f06803914363a0b.jpg
臺北植物園,walk,台北,中正區,荷花池與溫室植物，都市中的綠洲,自然,散步,拍照,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%87%BA%E5%8C%97%E6%A4%8D%E7%89%A9%E5%9C%92,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_R137_11.jpg
永康街商圈,cafe,台北,大安區,鼎泰豐等名店雲集的美食街,美食,甜點,逛街,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%B0%B8%E5%BA%B7%E8%A1%97%E5%95%86%E5%9C%88,https://static.wealth.com.tw/92d60f2ec91fa8c2cd4dab4ed7208196e0d296f1.jpg
迪化街,walk,台北,大同區,百年南北貨老街與文創小店,老街,歷史,文創,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%BF%AA%E5%8C%96%E8%A1%97,https://taiwantour.net/wp-content/uploads/2021/10/1634115625-17214818bcd90dfc22143fea3318d7e1.jpg
寧夏夜市,cafe,台北,大同區,在地人推薦的傳統夜市,夜市,小吃,在地,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82,https://esg-asset.tvbs.com.tw/articles/img/DzDMT9c0kdEMBjGLQZ8Pc4lzhnqNvdCftxKQguDZ.jpg
大稻埕碼頭,walk,台北,大同區,河岸夕陽與市集活動,河岸,散步,拍照,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%A4%A7%E7%A8%BB%E5%9F%95%E7%A2%BC%E9%A0%AD,https://www.travel.taipei/content/images/attractions/223127/1920x1080_attractions-image-xx_kz-dirkmkcabe1deyng.jpg
霞海城隍廟,spot,台北,大同區,月老聞名的信仰中心,宗教,寺廟,古蹟,歷史,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E9%9C%9E%E6%B5%B7%E5%9F%8E%E9%9A%8D%E5%BB%9F,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_2595_7.jpg
永樂市場,spot,台北,大同區,布市與傳統市場美食,市場,布料,美食,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%B0%B8%E6%A8%82%E5%B8%82%E5%A0%B4,https://lh3.googleusercontent.com/places/ANJU3Dvdpwl3HR-CsqyJHpqS_UTdvPuNLFfxzueb0xVMnFDcjISj7ik82_BO_Ff5b6_6s2rr8CK8R7R3h_FLS_F_a98K18zHY8dBmu8=s1600-w4032
保安街商圈,walk,台北,大同區,傳統商號與小吃聚集,小吃,老街,在地,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E4%BF%9D%E5%AE%89%E8%A1%97%E5%95%86%E5%9C%88,https://v3-statics.mirrormedia.mg/images/20201209104235-86f4fa849bc9bed3ab3675b770187c8a-w1600.webP
延平河濱公園,walk,台北,大同區,河濱自行車道與親水空間,河濱,單車,戶外,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%BB%B6%E5%B9%B3%E6%B2%B3%E6%BF%B1%E5%85%AC%E5%9C%92,https://www.travel.taipei/image/336867/?r=1666938432479
圓環周邊小吃,cafe,台北,大同區,老臺北小吃復興基地,小吃,在地,傳統,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%9C%93%E7%92%B0%E5%91%A8%E9%82%8A%E5%B0%8F%E5%90%83,https://upload.wikimedia.org/wikipedia/commons/f/f5/%E5%BB%BA%E6%88%90%E5%9C%93%E7%92%B0%E9%B3%A5%E7%9E%B0%E5%9C%96%EF%BC%88%E5%8F%B0%E5%8C%97%E5%B8%82%E5%B7%A5%E5%8B%99%E5%B1%80%E6%8F%90%E4%BE%9B%EF%BC%89-800x534.jpg
大稻埕音樂碼頭活動,spot,台北,大同區,不定期音樂會與市集,音樂,市集,活動,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%A4%A7%E7%A8%BB%E5%9F%95%E9%9F%B3%E6%A8%82%E7%A2%BC%E9%A0%AD%E6%B4%BB%E5%8B%95,https://cdn-www.cw.com.tw/article/202409/purchase-reauisition-66fa3b1bd6e95.jpg
行天宮,spot,台北,中山區,香火鼎盛的城市信仰中心,宗教,寺廟,祈福,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%A1%8C%E5%A4%A9%E5%AE%AE,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Xingtian_Temple_07.23.jpg/1200px-Xingtian_Temple_07.23.jpg
大佳河濱公園,walk,台北,中山區,寬闊河濱草地與自行車道,親子,公園,河濱,單車,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E5%A4%A7%E4%BD%B3%E6%B2%B3%E6%BF%B1%E5%85%AC%E5%9C%92,https://cdn-smiletaiwan.cw.com.tw/article/202509/article-68ce74754dd84.jpg
林安泰古厝民俗文物館,spot,台北,中山區,古宅園林與民俗展,古蹟,民俗,建築,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%9E%97%E5%AE%89%E6%B3%B0%E5%8F%A4%E5%8E%9D%E6%B0%91%E4%BF%97%E6%96%87%E7%89%A9%E9%A4%A8,https://upload.wikimedia.org/wikipedia/commons/2/29/%E6%9E%97%E5%AE%89%E6%B3%B0%E5%8F%A4%E5%8E%9D%E6%AD%A3%E9%9D%A2%E7%85%A7.jpg
美麗華百樂園摩天輪,spot,台北,中山區,摩天輪與購物娛樂,觀景,購物,娛樂,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E7%BE%8E%E9%BA%97%E8%8F%AF%E7%99%BE%E6%A8%82%E5%9C%92%E6%91%A9%E5%A4%A9%E8%BC%AA,https://www.travel.taipei/content/images/attractions/182754/1024x768_attractions-image-ieknzh_o7eubthlyxcgirw.jpg
晴光商圈,cafe,台北,中山區,晴光市場與在地美食,市場,小吃,美食,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%99%B4%E5%85%89%E5%95%86%E5%9C%88,https://alinalife.tw/wp-content/uploads/IMG_1358-1.jpg
花博公園（新生園區）,walk,台北,中山區,都市綠地與展館,公園,花卉,散步,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E8%8A%B1%E5%8D%9A%E5%85%AC%E5%9C%92%EF%BC%88%E6%96%B0%E7%94%9F%E5%9C%92%E5%8D%80%EF%BC%89,https://cc.tvbs.com.tw/img/program/upload/2022/05/17/20220517130706-3b87489a.jpg
榮星花園公園,walk,台北,中山區,社區綠地與步道,公園,散步,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%A6%AE%E6%98%9F%E8%8A%B1%E5%9C%92%E5%85%AC%E5%9C%92,https://travelss.net/wp-content/uploads/2025/01/image-17-686.jpg
中山站南西商圈,cafe,台北,中山區,百貨林立與文青小店,購物,咖啡,逛街,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E4%B8%AD%E5%B1%B1%E7%AB%99%E5%8D%97%E8%A5%BF%E5%95%86%E5%9C%88,https://cdn.bella.tw/files/IMG_0147.JPG
濱江魚市（臺北漁市）,spot,台北,中山區,清晨魚市場體驗與餐飲,市場,海鮮,在地,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E6%BF%B1%E6%B1%9F%E9%AD%9A%E5%B8%82%EF%BC%88%E8%87%BA%E5%8C%97%E6%BC%81%E5%B8%82%EF%BC%89,https://www.travel.taipei/content/images/attractions/492038/1024x768_attractions-image-llovsc3dnksxq7w1acs5ha.jpg
心中山線形公園,walk,台北,中山區,中山區周邊綠地與步道,公園,步道,,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/8FyJFL69sKAqMfXK7,https://www.travel.taipei/content/images/attractions/468031/1024x768_attractions-image-t5d0s_ed5ug6vafs4bjahw.jpg
饒河街觀光夜市,cafe,台北,松山區,捷運松山站外的知名觀光夜市，旁邊還有香火鼎盛的松山慈祐宮及彩虹橋可以欣賞河畔景色,夜市,小吃,在地,,依場館或店家為準,依消費或免費,,,https://maps.app.goo.gl/?q=%E9%A5%92%E6%B2%B3%E8%A1%97%E8%A7%80%E5%85%89%E5%A4%9C%E5%B8%82,https://www.travel.taipei/content/images/attractions/282180/1024x768_attractions-image--rznjhetiuoqnzoyqppjgw.jpg
